【合租】南延线 城南晶座 4室主卧,城南晶座,1000,http://cd.58.com/pinpaigongyu/30100527167687x.shtml
【合租】东光小区 翡翠城5期 4室次卧,翡翠城5期,1000,http://cd.58.com/pinpaigongyu/30067439179465x.shtml
【合租】营门口 为民新居 5室次卧,为民新居,1030,http://cd.58.com/pinpaigongyu/30124089805771x.shtml
【整租】大源村 清凤时代城 1室1厅,清凤时代城,1400,http://cd.58.com/pinpaigongyu/30134411768398x.shtml
【合租】南延线 中德英伦联邦 5室主卧,中德英伦联邦,1000,http://cd.58.com/pinpaigongyu/30125063489073x.shtml
【整租】世纪城 仁美大源印象 1室1厅,仁美大源印象,1500,http://cd.58.com/pinpaigongyu/29856571400623x.shtml
【整租】冠寓 犀浦 龙湖时代天街,犀浦,1200-1500,http://cd.58.com/pinpaigongyu/29163499829048x.shtml
【合租】万年场 华润二十四城四期 6室主卧,华润二十四城四期,1400,http://cd.58.com/pinpaigongyu/29779590990525x.shtml
【整租】蜀汉路 西城上域 1室0厅,西城上域,1200,http://cd.58.com/pinpaigongyu/30089626129068x.shtml
【合租】外光华 中铁瑞景颐城 4室主卧,中铁瑞景颐城,1050,http://cd.58.com/pinpaigongyu/29813787481808x.shtml
【整租】优家公寓 大源村 YOU+大源,大源村,1346-1600,http://cd.58.com/pinpaigongyu/30058845082949x.shtml
【合租】金融城 天府欣苑 5室次卧,天府欣苑,1000,http://cd.58.com/pinpaigongyu/29702122709050x.shtml
【合租】东升镇 美城悦荣府 4室次卧,美城悦荣府,1000,http://cd.58.com/pinpaigongyu/30133838819369x.shtml
【合租】营门口 为民新居 3室主卧,为民新居,1090,http://cd.58.com/pinpaigongyu/29979130042686x.shtml
【合租】贝森 蓝光COCO蜜城 6室主卧,蓝光COCO蜜城,1000,http://cd.58.com/pinpaigongyu/29826187251404x.shtml
【合租】中和镇 领馆区1号 4室主卧,领馆区1号,1000,http://cd.58.com/pinpaigongyu/30037691430462x.shtml
【合租】营门口 为民新居 5室次卧,为民新居,1050,http://cd.58.com/pinpaigongyu/30134167919292x.shtml
【合租】南延线 中德英伦联邦 5室主卧,中德英伦联邦,1000,http://cd.58.com/pinpaigongyu/30080846315847x.shtml
【合租】内光华 天祥广场尚府 5室主卧,天祥广场尚府,1050,http://cd.58.com/pinpaigongyu/30135280351684x.shtml
【合租】东光小区 交大绿岭 4室主卧,交大绿岭,1000,http://cd.58.com/pinpaigongyu/30079966205630x.shtml
【合租】攀成钢 天誉南庭 4室次卧,天誉南庭,1100,http://cd.58.com/pinpaigongyu/30067482851149x.shtml
【合租】营门口 为民新居 5室次卧,为民新居,1100,http://cd.58.com/pinpaigongyu/30134172957259x.shtml
【合租】天府长城 长城·半岛城邦 5室主卧,长城·半岛城邦,1400,http://cd.58.com/pinpaigongyu/30102294383537x.shtml
【合租】蜀汉路 金色池塘 3室主卧,金色池塘,1150,http://cd.58.com/pinpaigongyu/30113351961295x.shtml
【合租】南延线 中德英伦联邦 5室主卧,中德英伦联邦,1000,http://cd.58.com/pinpaigongyu/30112123732011x.shtml
【合租】成仁路 东湖国际 5室主卧,东湖国际,1100,http://cd.58.com/pinpaigongyu/29705430320694x.shtml
